2025-04-02T03:00:31.090000Z
Station, Max G
GO_LGDA_HNE, 6.4053041135387395e-06
GO_LGDA_HNN, 4.780227414010859e-06
GO_LGDA_HNZ, 2.8403108514213182e-06
GO_S186_HNE, 1.5546125515277455e-05
GO_S186_HNN, 9.226933413663153e-06
GO_S186_HNZ, 1.1770640681160703e-05
GO_ALIA_HNE, 8.179250838543209e-06
GO_ALIA_HNN, 6.735301173407417e-06
GO_ALIA_HNZ, 8.417751398349026e-06
GO_LPNA_HNE, 6.546864094885788e-06
GO_LPNA_HNN, 5.943001362071588e-06
GO_LPNA_HNZ, 1.017558962281717e-05
GO_KHMA_HNZ, 2.281038077167926e-06
GO_KHMA_HNE, 2.9211026774760513e-06
GO_KHMA_HNN, 3.5048459744542985e-06
GO_EMLK_HNE, 1.8636601525764646e-05
GO_EMLK_HNN, 1.4631645302759959e-05
GO_EMLK_HNZ, 1.278511672434038e-05
GO_MINA_HNE, 5.740762506318366e-06
GO_MINA_HNN, 3.5865530806584306e-06
GO_MINA_HNZ, 5.046079749901e-06
GO_DDFN_HNE, 4.851959207197571e-06
GO_DDFN_HNN, 5.79518211777918e-06
GO_DDFN_HNZ, 3.75351685847748e-06
GO_MUGA_HNE, 5.431198493343526e-06
GO_MUGA_HNN, 5.862634397595452e-06
GO_MUGA_HNZ, 5.0423179648834015e-06
GO_SEAG_HNE, 5.571216959370631e-05
GO_SEAG_HNN, 4.721003336358036e-05
GO_SEAG_HNZ, 1.2439127998592125e-05
GO_AKHA_HNE, 0.00023983530189240613
GO_AKHA_HNN, 0.00014143352695662764
GO_AKHA_HNZ, 0.00019347881956845538
GO_MZEG_HNE, 2.2936309240395564e-05
GO_MZEG_HNN, 2.015841487731271e-05
GO_MZEG_HNZ, 1.4950855327127707e-05
GO_KHAR_HNE, 9.116056374462368e-05
GO_KHAR_HNN, 0.00011292859738814272
GO_KHAR_HNZ, 8.752724820854451e-05
GO_AZNN_HNE, 1.3064415374511937e-05
GO_AZNN_HNN, 1.0259594528134078e-05
GO_AZNN_HNZ, 1.1504319605570583e-05
GO_DALI_HNE, 4.41856645067081e-06
GO_DALI_HNN, 1.0679006949782876e-05
GO_DALI_HNZ, 2.4118994588033776e-05
GO_GARI_HNE, 1.5095306878075383e-06
GO_GARI_HNN, 1.2016731554735122e-06
GO_GARI_HNZ, 1.6058484823976418e-06
GO_SHNK_HNE, 3.4346595436459387e-06
GO_SHNK_HNN, 1.2190658532155189e-06
GO_SHNK_HNZ, 8.607052318136157e-06
GO_VSHA_HNE, 4.251386448290113e-06
GO_VSHA_HNN, 6.827357004566908e-06
GO_VSHA_HNZ, 4.868168904651373e-06
GO_S185_HNE, 2.7102345708062552e-06
GO_S185_HNN, 2.236965055412203e-06
GO_S185_HNZ, 4.1278369278807935e-06
GO_GHRG_HNE, 4.013636357490918e-06
GO_GHRG_HNN, 3.906314090037064e-06
GO_GHRG_HNZ, 1.0211506281772876e-05
GO_CHRK_HNZ, 6.752361113076016e-06
GO_CHRK_HNN, 8.423660668696153e-06
GO_CHRK_HNE, 9.634502404947773e-06
GO_BTNK_HNE, 8.814251220945596e-05
GO_BTNK_HNN, 9.518647540721299e-05
GO_BTNK_HNZ, 4.708721779685697e-05
GO_DGRG_HNE, 3.0755030558271723e-06
GO_DGRG_HNN, 2.8422790543518832e-06
GO_DGRG_HNZ, 2.2662278800707323e-06
GO_TBLG_HNE, 9.730527962673107e-06
GO_TBLG_HNN, 8.47591182878852e-06
GO_TBLG_HNZ, 6.110158966187508e-06
GO_SHTB_HNE, 0.000135498090971559
GO_SHTB_HNN, 0.0001500590301553684
GO_SHTB_HNZ, 0.00022249042455745226
GO_SC07_HNE, 1.8764918361226114e-05
GO_SC07_HNN, 2.390926878095027e-05
GO_SC07_HNZ, 2.482767719930671e-05
GO_CHRN_HNE, 8.755019063395427e-07
GO_CHRN_HNN, 1.0336077928420416e-06
GO_CHRN_HNZ, 1.1942856644903457e-06
GO_DSHG_HNE, 1.265135994110109e-06
GO_DSHG_HNN, 1.9072566943582644e-06
GO_DSHG_HNZ, 4.764680679859969e-06
GO_TRLT_HNE, 1.0384607674153253e-05
GO_TRLT_HNN, 8.491436564923998e-06
GO_TRLT_HNZ, 7.051686218641603e-06
GO_CHBG_HNZ, 2.8331366756154836e-06
GO_CHBG_HNE, 2.126706927541803e-06
GO_CHBG_HNN, 2.0727530609831247e-06
