2025-03-08T11:28:25.120000Z
Station, Max G
GO_S186_HNE, 0.0006074655783745028
GO_S186_HNN, 0.0002982730775482698
GO_S186_HNZ, 0.0007418576719051481
GO_ALIA_HNE, 0.0004327630435708701
GO_ALIA_HNN, 0.00043932156688459336
GO_ALIA_HNZ, 0.00022080977679859746
GO_LPNA_HNE, 0.00035818514248407517
GO_LPNA_HNN, 0.0003219003987535603
GO_LPNA_HNZ, 0.00040085632736592896
GO_MTAG_HNE, 0.0025873237142796037
GO_MTAG_HNN, 0.002266851053651847
GO_MTAG_HNZ, 0.0022632736040516565
GO_KHMA_HNZ, 8.52296081271251e-06
GO_KHMA_HNE, 1.515206169108422e-05
GO_KHMA_HNN, 1.2840436139242964e-05
GO_EMLK_HNE, 8.224405963234367e-05
GO_EMLK_HNN, 8.01627225071845e-05
GO_EMLK_HNZ, 4.727138215272257e-05
GO_MINA_HNE, 3.4359016854745885e-05
GO_MINA_HNN, 2.544338539538832e-05
GO_MINA_HNZ, 1.7705231110347654e-05
GO_DDFN_HNE, 1.778805135086998e-05
GO_DDFN_HNN, 1.9478235036468826e-05
GO_DDFN_HNZ, 1.826684693348276e-05
GO_MUGA_HNE, 0.0008129426772433454
GO_MUGA_HNN, 0.0007851428848648121
GO_MUGA_HNZ, 0.0005832144221310262
GO_SEAG_HNE, 0.00014230910179418625
GO_SEAG_HNN, 0.0001623453515573158
GO_SEAG_HNZ, 0.00011124043119995081
GO_AKHA_HNE, 0.000225711473841131
GO_AKHA_HNN, 0.00010313009570234395
GO_AKHA_HNZ, 0.00011194207761465817
GO_MZEG_HNE, 7.672938518072601e-05
GO_MZEG_HNN, 6.751866022234516e-05
GO_MZEG_HNZ, 5.2266624175143026e-05
GO_SHTA_HNE, 0.0030349764896722073
GO_SHTA_HNN, 0.00184673637792118
GO_SHTA_HNZ, 0.0017474325009521918
GO_KHAR_HNE, 0.00013019231961602346
GO_KHAR_HNN, 8.023276439777958e-05
GO_KHAR_HNZ, 5.874036567671719e-05
GO_AZNN_HNE, 1.610165002525342e-05
GO_AZNN_HNN, 1.4709711452790931e-05
GO_AZNN_HNZ, 8.902572248105275e-06
GO_DALI_HNE, 5.1172675276442596e-05
GO_DALI_HNN, 5.001907647441082e-05
GO_DALI_HNZ, 3.947241256525645e-05
GO_KHRT_HNE, 4.440698645235116e-05
GO_KHRT_HNZ, 2.247677559492456e-05
GO_KHRT_HNN, 3.501980624473825e-05
GO_GARI_HNE, 1.5856888910355905e-05
GO_GARI_HNN, 1.9127158762236405e-05
GO_GARI_HNZ, 1.5668814561027817e-05
GO_SHNK_HNE, 0.00016728214778600047
GO_SHNK_HNN, 0.0002649941519956389
GO_SHNK_HNZ, 9.694847345000393e-05
GO_VSHA_HNE, 8.570509722958978e-05
GO_VSHA_HNN, 9.408598111548214e-05
GO_VSHA_HNZ, 8.041166689104427e-05
GO_S185_HNE, 8.926667888065914e-06
GO_S185_HNN, 5.039873035919794e-06
GO_S185_HNZ, 8.16966584730563e-06
GO_GHRG_HNE, 2.1394224712920874e-05
GO_GHRG_HNN, 1.416689773178383e-05
GO_GHRG_HNZ, 7.604152773777628e-06
GO_CHRK_HNZ, 3.913042613579222e-06
GO_CHRK_HNN, 8.517032781263012e-06
GO_CHRK_HNE, 5.441812150482267e-06
GO_BTNK_HNE, 0.0018589401914317458
GO_BTNK_HNN, 0.002464899248481136
GO_BTNK_HNZ, 0.002367007030434701
GO_DGRG_HNE, 3.381496491753894e-05
GO_DGRG_HNN, 4.1928974046491755e-05
GO_DGRG_HNZ, 7.742063104259424e-05
GO_TBLG_HNE, 9.232074535524287e-05
GO_TBLG_HNN, 6.766556947528089e-05
GO_TBLG_HNZ, 6.683972197821266e-05
GO_SHTB_HNE, 0.0011433837846410526
GO_SHTB_HNN, 0.0009158338392588061
GO_SHTB_HNZ, 0.0005718348594839969
GO_SC07_HNE, 0.0002216041756306187
GO_SC07_HNN, 0.00033757536221033215
GO_SC07_HNZ, 0.00025098098202035537
GO_CHRN_HNE, 9.335474384573909e-07
GO_CHRN_HNN, 9.856290666502883e-07
GO_CHRN_HNZ, 1.0967576196207163e-06
GO_DSHG_HNE, 0.00020940064165257148
GO_DSHG_HNN, 0.00019148953672974537
GO_DSHG_HNZ, 8.713189478562643e-05
GO_TRLT_HNE, 7.415896018739051e-05
GO_TRLT_HNN, 6.977276358084366e-05
GO_TRLT_HNZ, 4.621388369684697e-05
GO_CHBG_HNZ, 2.707557198585312e-06
GO_CHBG_HNE, 3.3439633560131033e-06
GO_CHBG_HNN, 4.4353225026569946e-06
