2025-04-01T09:56:16.950000Z
Station, Max G
GO_S186_HNE, 0.0011735140166484505
GO_S186_HNN, 0.000863698355164135
GO_S186_HNZ, 0.0005959695965637822
GO_ALIA_HNE, 0.00020278073894998666
GO_ALIA_HNN, 0.00013719730194094716
GO_ALIA_HNZ, 6.899505528252599e-05
GO_LPNA_HNE, 0.00013295504286573562
GO_LPNA_HNN, 9.629212275372207e-05
GO_LPNA_HNZ, 5.7919843019337225e-05
GO_KHMA_HNZ, 1.606462083998069e-05
GO_KHMA_HNE, 3.533245506536791e-05
GO_KHMA_HNN, 3.2523618190252345e-05
GO_EMLK_HNE, 0.006414292001215827
GO_EMLK_HNN, 0.0076181584699997005
GO_EMLK_HNZ, 0.0047786035530102055
GO_MINA_HNE, 0.00024591118162358024
GO_MINA_HNN, 0.0001448941352574157
GO_MINA_HNZ, 0.0001490664262441338
GO_DDFN_HNE, 5.273582315939687e-05
GO_DDFN_HNN, 3.420896761947471e-05
GO_DDFN_HNZ, 2.707288760391471e-05
GO_MUGA_HNE, 0.00011680181021287952
GO_MUGA_HNN, 9.568402372072996e-05
GO_MUGA_HNZ, 7.82452643400723e-05
GO_SEAG_HNE, 0.0006294719323614332
GO_SEAG_HNN, 0.0005473147707088568
GO_SEAG_HNZ, 0.00039022681208402657
GO_AKHA_HNE, 0.001454269840343469
GO_AKHA_HNN, 0.0012522484980168204
GO_AKHA_HNZ, 0.0016321218273377173
GO_MZEG_HNE, 0.0003841084564308686
GO_MZEG_HNN, 0.0004100979208325875
GO_MZEG_HNZ, 0.00021487463061614786
GO_SHTA_HNE, 5.6082512345817664e-05
GO_SHTA_HNN, 4.9839624768790395e-05
GO_SHTA_HNZ, 2.823688689105093e-05
GO_KHAR_HNE, 5.5960063745874904e-05
GO_KHAR_HNN, 5.125463127482451e-05
GO_KHAR_HNZ, 3.062441463469417e-05
GO_AZNN_HNE, 0.00015081813597999304
GO_AZNN_HNN, 0.00011043654210315276
GO_AZNN_HNZ, 9.742501988924521e-05
GO_DALI_HNE, 4.1049603249267264e-05
GO_DALI_HNN, 6.060106947847231e-05
GO_DALI_HNZ, 4.687320188504045e-05
GO_GARI_HNE, 2.2870585765117692e-05
GO_GARI_HNN, 1.8985515023943498e-05
GO_GARI_HNZ, 1.1982213209943646e-05
GO_SHNK_HNE, 8.342549342827843e-05
GO_SHNK_HNN, 0.00017786656760122039
GO_SHNK_HNZ, 4.350833661127511e-05
GO_VSHA_HNE, 4.8349703675424076e-05
GO_VSHA_HNN, 4.832375805236184e-05
GO_VSHA_HNZ, 6.87937575856416e-05
GO_S185_HNE, 3.625169667598739e-05
GO_S185_HNN, 1.2801018495765857e-05
GO_S185_HNZ, 3.852705337717707e-05
GO_GHRG_HNE, 0.0001398993289601953
GO_GHRG_HNN, 0.00010032340700896332
GO_GHRG_HNZ, 5.9574058741941266e-05
GO_CHRK_HNZ, 1.8251705833395246e-05
GO_CHRK_HNN, 1.803908303998696e-05
GO_CHRK_HNE, 2.105315534121932e-05
GO_LNTK_HNN, 3.104992707738786e-05
GO_LNTK_HNZ, 1.990080719068743e-05
GO_LNTK_HNE, 2.801579062314411e-05
GO_BTNK_HNE, 0.007071983169917082
GO_BTNK_HNN, 0.008975280801128391
GO_BTNK_HNZ, 0.0029380532520961074
GO_DGRG_HNE, 5.9629462978201784e-05
GO_DGRG_HNN, 5.4832011529843804e-05
GO_DGRG_HNZ, 4.545419437995121e-05
GO_TBLG_HNE, 0.0005112218521650368
GO_TBLG_HNN, 0.00046166905676982924
GO_TBLG_HNZ, 0.00029455531997381866
GO_SHTB_HNE, 0.000675289515850774
GO_SHTB_HNN, 0.0004390367964830118
GO_SHTB_HNZ, 0.00033902015585047835
GO_SC07_HNE, 0.00021656358328320854
GO_SC07_HNN, 0.000145057050875002
GO_SC07_HNZ, 0.0004996752613435349
GO_CHRN_HNE, 8.340566097880512e-07
GO_CHRN_HNN, 1.0880053642790378e-06
GO_CHRN_HNZ, 1.0762186656942034e-06
GO_DSHG_HNE, 4.0204090891304794e-05
GO_DSHG_HNN, 7.013569038855464e-05
GO_DSHG_HNZ, 3.346678958003088e-05
GO_TRLT_HNE, 0.0005101580441843125
GO_TRLT_HNN, 0.0003973764237350662
GO_TRLT_HNZ, 0.00026429049804245876
GO_CHBG_HNZ, 5.707627690435557e-06
GO_CHBG_HNE, 1.190111572563356e-05
GO_CHBG_HNN, 1.3109592519581315e-05
